Language,DishID,DishName,Category,Price,Ingredients,Description
Vietnamese,781fb396-7ea4-4a51-b929-1e16445c8370,Gỏi cuốn tôm thịt kèm sốt đậu phộng,Khai vị,65.000₫,"Tôm, thịt ba chỉ, bún tươi, bánh tráng, rau thơm, đậu phộng","Cuốn thanh mát, tôm thịt chắc ngọt, chấm sốt đậu phộng béo bùi."
Vietnamese,82368817-a2e5-41a3-afd4-62b83098fd37,Nem chua rán Hà Nội,Khai vị,75.000₫,"Nem chua, bột chiên giòn, tương ớt, dưa góp","Vỏ giòn rụm, bên trong dẻo thơm, ăn kèm dưa góp chua ngọt."
Vietnamese,ac761967-79da-40a6-b917-039eee3d63f5,Bánh xèo miền Tây nhân tôm thịt,Khai vị,110.000₫,"Bột gạo, nghệ, tôm, thịt heo, giá đỗ, rau sống, nước mắm chua ngọt","Bánh vàng giòn, nhân đầy đặn, cuốn rau chấm nước mắm đậm đà."
Vietnamese,66ac918a-9b90-4bf4-aedd-7f05a4cd6525,Súp cua trứng cút,Súp,70.000₫,"Thịt cua, trứng cút, nấm đông cô, bắp non, bột năng, tiêu","Súp sánh mịn, ngọt thanh từ cua, điểm trứng cút béo bùi."
Vietnamese,6120a40a-bd9f-4dab-93f7-8c9266b331f9,Canh chua cá lóc bông điên điển,Súp,145.000₫,"Cá lóc, me, thơm, cà chua, bông điên điển, bạc hà, rau ngổ","Vị chua ngọt hài hòa, cá lóc chắc thịt, thơm hương miền Tây."
Vietnamese,b7c17c27-6bc9-4c9c-9bfe-fee963c01e36,Phở bò tái lăn kiểu Hà Nội,Món chính,95.000₫,"Bánh phở, thịt bò, hành tây, gừng, quế, hồi, hành lá","Nước dùng trong thơm, bò tái lăn mềm, dậy mùi gia vị Bắc."
Vietnamese,0d7651de-b013-48a1-abb7-fcb12cbcef69,Bún bò Huế đặc biệt,Món chính,105.000₫,"Bún, bắp bò, giò heo, chả cua, sả, mắm ruốc, ớt sa tế","Cay nồng quyến rũ, nước lèo đậm vị sả mắm ruốc, chuẩn phong vị Huế."
Vietnamese,4f772186-7f17-4747-b611-495dd48cba56,Cơm tấm sườn nướng bì chả,Món chính,115.000₫,"Gạo tấm, sườn heo, bì, chả trứng, đồ chua, mỡ hành, nước mắm","Sườn nướng thơm than, cơm tấm dẻo, ăn kèm bì chả và nước mắm sánh."
Vietnamese,5cde1b75-9be9-4432-b2fe-72ee146d920e,Cá kho tộ kiểu Nam Bộ,Món chính,165.000₫,"Cá basa/cá hú, nước màu, tiêu, ớt, hành, nước mắm, dừa tươi","Cá kho thấm vị mặn ngọt, thơm tiêu, ăn cùng cơm nóng rất đưa cơm."
Vietnamese,7a8f10c6-786b-4c1c-bf6c-c2556fd01345,Gà nướng mắc khén Tây Bắc,Món chính,245.000₫,"Gà ta, mắc khén, hạt dổi, sả, tỏi, lá chanh, muối","Da vàng giòn, thịt ngọt, thơm nồng mắc khén đặc trưng núi rừng."
Vietnamese,3936e454-29bb-42a4-9caa-468107acc94d,Chả cá Lã Vọng,Món chính,220.000₫,"Cá lăng, nghệ, thì là, hành lá, bún, mắm tôm, lạc rang","Cá áp chảo vàng thơm, ăn cùng bún thì là và mắm tôm đúng điệu."
Vietnamese,7f8744bf-971f-428b-b147-48f1d0181d9f,Mì Quảng tôm thịt,Món chính,95.000₫,"Sợi mì Quảng, tôm, thịt heo, trứng cút, rau sống, bánh tráng mè","Nước nhân sánh đậm, ít nhưng đủ vị, giòn thơm bánh tráng mè."
Vietnamese,c7f66068-feb4-4bb8-b063-7ab77c14b779,Bánh canh cua Sài Gòn,Món chính,125.000₫,"Bánh canh, cua, giò heo, trứng cút, hành phi, tiêu","Sợi bánh canh mềm dai, nước dùng sánh ngọt, topping đầy đặn."
